"","wipo_field","year","freq"
"572","Engines, pumps, turbines","1996",59
"573","Environmental technology","1996",43
"574","Food chemistry","1996",4
"575","Furniture, games","1996",6
"576","Handling","1996",8
"577","IT methods for management","1996",2
"578","Machine tools","1996",16
"579","Macromolecular chemistry, polymers","1996",49
"580","Materials, metallurgy","1996",77
"581","Measurement","1996",248
"582","Mechanical elements","1996",33
"583","Medical technology","1996",51
"584","Micro-structural and nano-technology","1996",1
"585","Optics","1996",117
"586","Organic fine chemistry","1996",160
"587","Other consumer goods","1996",11
"588","Other special machines","1996",40
"589","Pharmaceuticals","1996",125
"590","Semiconductors","1996",89
"591","Surface technology, coating","1996",60
"592","Telecommunications","1996",52
"593","Textile and paper machines","1996",5
"594","Thermal processes and apparatus","1996",11
"595","Transport","1996",52
"596","Analysis of biological materials","1997",83
"597","Audio-visual technology","1997",35
"598","Basic communication processes","1997",20
"599","Basic materials chemistry ","1997",71
"600","Biotechnology","1997",599
"601","Chemical engineering","1997",54
"602","Civil engineering","1997",16
"603","Computer technology","1997",73
"604","Control","1997",24
"605","Digital communication","1997",8
"606","Electrical machinery, apparatus, energy","1997",130
"607","Engines, pumps, turbines","1997",74
"608","Environmental technology","1997",54
"609","Food chemistry","1997",9
"610","Furniture, games","1997",5
"611","Handling","1997",10
"612","IT methods for management","1997",0
"613","Machine tools","1997",26
"614","Macromolecular chemistry, polymers","1997",34
"615","Materials, metallurgy","1997",84
"616","Measurement","1997",233
"617","Mechanical elements","1997",24
"618","Medical technology","1997",58
"619","Micro-structural and nano-technology","1997",3
"620","Optics","1997",137
"621","Organic fine chemistry","1997",161
"622","Other consumer goods","1997",10
"623","Other special machines","1997",74
"624","Pharmaceuticals","1997",142
"625","Semiconductors","1997",116
"626","Surface technology, coating","1997",61
"627","Telecommunications","1997",44
"628","Textile and paper machines","1997",4
"629","Thermal processes and apparatus","1997",10
"630","Transport","1997",63
"631","Analysis of biological materials","1998",144
"632","Audio-visual technology","1998",50
"633","Basic communication processes","1998",34
"634","Basic materials chemistry ","1998",48
"635","Biotechnology","1998",827
"636","Chemical engineering","1998",81
"637","Civil engineering","1998",16
"638","Computer technology","1998",115
"639","Control","1998",13
"640","Digital communication","1998",9
"641","Electrical machinery, apparatus, energy","1998",169
"642","Engines, pumps, turbines","1998",71
"643","Environmental technology","1998",56
"644","Food chemistry","1998",11
"645","Furniture, games","1998",3
"646","Handling","1998",7
"647","IT methods for management","1998",10
"648","Machine tools","1998",22
"649","Macromolecular chemistry, polymers","1998",41
